OBJECTID;GKZ;ZONE_CODE;COUNT;AREA;MIN;MAX;RANGE;MEAN;STD;SUM
158;56613269;158;10404;6502500,000000000000000;0,119979433715343;18,554763793945313;18,434784360229969;4,888720136172339;2,833587589881518;50862,244296737015000
159;5661265;159;4998;3123750,000000000000000;0,065452717244625;18,136976242065430;18,071523524820805;5,091872353112700;2,311917742141815;25449,178020857275000
160;56612522;160;2948;1842500,000000000000000;0,536319971084595;14,988758087158203;14,452438116073608;4,975864524595449;2,103015030478538;14668,848618507385000
161;56612521;161;2356;1472500,000000000000000;0,151264846324921;13,612031936645508;13,460767090320587;5,307204595230937;1,795258787594867;12503,774026364088000
162;5661328;162;11434;7146250,000000000000000;0,088854581117630;17,238018035888672;17,149163454771042;4,120443095659483;2,311506217462581;47113,146355770528000
163;56613299;163;17083;10676875,000000000000000;0,055105298757553;20,719045639038086;20,663940340280533;5,279636407006399;3,278607316859963;90192,028740890324000
164;5661221;164;1790;1118750,000000000000000;0,126570314168930;18,939380645751953;18,812810331583023;5,843701341739913;3,432250658466005;10460,225401714444000
165;5661268;165;11566;7228750,000000000000000;0,024643845856190;17,502962112426758;17,478318266570568;3,861360203792341;2,378384726281110;44660,492117062211000
166;566138121;166;2702;1688750,000000000000000;0,029494805261493;10,697306632995605;10,667811827734113;2,886988541722811;1,514747966193476;7800,643039735034100
167;56613323;167;10935;6834375,000000000000000;0,143696784973145;16,705646514892578;16,561949729919434;4,703322492163095;2,126767030957717;51430,831451803446000
168;566128;168;11185;6990625,000000000000000;0,025623450055718;18,309463500976563;18,283840050920844;4,368460416517549;2,835988344826937;48861,229758748785000
169;5661414;169;2711;1694375,000000000000000;0,025623450055718;8,681339263916016;8,655715813860297;1,942045029837464;0,924094634291510;5264,884075889363900
170;566138122;170;1434;896250,000000000000000;0,083128198981285;10,598299026489258;10,515170827507973;3,260145899162964;1,318337473392902;4675,049219399690600
171;5661411;171;4425;2765625,000000000000000;0,057581525295973;15,285219192504883;15,227637667208910;2,650794078632768;2,116212373894337;11729,763797950000000
172;56613199;172;9929;6205625,000000000000000;0,005729577969760;17,809038162231445;17,803308584261686;4,653779350790934;2,962204699270275;46207,375174003188000
173;5661223;173;2362;1476250,000000000000000;0,048953521996737;19,334838867187500;19,285885345190763;8,442244718314971;4,071320278066597;19940,582024659961000
174;5614512;174;6486;4053750,000000000000000;0,057581525295973;8,943733215332031;8,886151690036058;2,086823756462224;1,196920541417089;13535,138884413987000
175;5661224;175;1863;1164375,000000000000000;0,397053807973862;19,197486877441406;18,800433069467545;7,417503938758751;3,815765598167585;13818,809837907553000
176;5661263;176;690;431250,000000000000000;0,850977480411530;15,156708717346191;14,305731236934662;5,576356525870337;2,614989579552170;3847,686002850532500
177;5661412;177;2584;1615000,000000000000000;0,043822836130857;9,234919548034668;9,191096711903811;2,312705149339229;1,122437131671823;5976,030105892568800
178;56613292;178;4412;2757500,000000000000000;0,067914202809334;14,353827476501465;14,285913273692131;3,557475245296820;2,038558785017470;15695,580782249570000
179;5661222;179;1228;767500,000000000000000;0,278369218111038;18,655174255371094;18,376805037260056;7,382618793325820;3,838462480075776;9065,855878204107300
180;5661262;180;3979;2486875,000000000000000;0,289468824863434;18,174770355224609;17,885301530361176;6,683159282913637;3,370724640396359;26592,290786713362000
181;5661234;181;11279;7049375,000000000000000;0,105180948972702;21,700569152832031;21,595388203859329;7,476419809194694;4,003880724636720;84326,539027906954000
182;53234152;182;1593;995625,000000000000000;0,222974434494972;16,347963333129883;16,124988898634911;6,570901034101704;3,065173283797300;10467,445347324014000
183;5661419;183;836;522500,000000000000000;0,032663617283106;10,820568084716797;10,787904467433691;3,210201765383866;1,805234555176858;2683,728675860911600
184;56613813;184;239;149375,000000000000000;0,484298825263977;8,408922195434570;7,924623370170593;2,324633019239833;1,286850405094443;555,587291598320010
185;56613324;185;2248;1405000,000000000000000;0,354975074529648;13,770178794860840;13,415203720331192;4,127827029754789;1,711942948936357;9279,355162888765300
186;53234136;186;1954;1221250,000000000000000;0,132463350892067;17,819599151611328;17,687135800719261;7,243567479387338;3,461147753241543;14153,930854722857000
187;566133251;187;410;256250,000000000000000;0,575453937053680;10,445137977600098;9,869684040546417;4,712743806112103;1,923501365183376;1932,224960505962400
188;53234139;188;135;84375,000000000000000;0,553502738475800;15,408432960510254;14,854930222034454;7,018135679651190;3,253380874642221;947,448316752910610
189;53234134;189;5534;3458750,000000000000000;0,134675309062004;16,322042465209961;16,187367156147957;5,305347776344032;2,530816091715011;29359,794594287872000
190;56613364;190;4382;2738750,000000000000000;0,012811725959182;18,012920379638672;18,000108653679490;5,450137665142045;2,488817602695857;23882,503248652443000
191;56612661;191;3027;1891875,000000000000000;0,083522170782089;12,791001319885254;12,707479149103165;5,212944138601920;2,366536009881233;15779,581907548010000
192;561452;192;11249;7030625,000000000000000;0,040514227002859;7,627729892730713;7,587215665727854;1,937137738328551;0,893778883980850;21790,862418457866000
193;56613311;193;4402;2751250,000000000000000;0,029215227812529;20,387121200561523;20,357905972748995;4,890920034629622;3,360058254042467;21529,829992439598000
194;5661413;194;3061;1913125,000000000000000;0,069938376545906;8,937094688415527;8,867156311869621;2,685012273597526;1,311027490143029;8218,822569482028500
195;56613319;195;22;13750,000000000000000;0,088484354317188;12,469778060913086;12,381293706595898;4,135440912097693;4,660416702927656;90,979700066149235
196;56613312;196;3799;2374375,000000000000000;0,354975074529648;18,039274215698242;17,684299141168594;5,405392377093831;2,831342880545789;20535,085640579462000
197;5661416;197;1976;1235000,000000000000000;0,032663617283106;16,226793289184570;16,194129671901464;3,741949286996217;2,459718085957065;7394,091791104525300
