"clc_111";"clc_112";"clc_121";"clc_122";"clc_123";"clc_124";"clc_131";"clc_132";"clc_133";"clc_141";"clc_142";"clc_211";"clc_221";"clc_222";"clc_231";"clc_242";"clc_243";"clc_311";"clc_312";"clc_313";"clc_321";"clc_322";"clc_324";"clc_331";"clc_333";"clc_411";"clc_412";"clc_511";"clc_512";"expression"
"53711611";;;;;;;;;;;;;;;;;0;;0,9289;0,0711;;;;;;;;;;"0 * clc_243 + 0.9289 * clc_312 + 0.0711 * clc_313"
"53711613";;;;;;;;;;;;;;;;;;;0,9555;0,0445;;;;;;;;;;"0.9555 * clc_312 + 0.0445 * clc_313"
"53711614";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53711615";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53711616";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53711617";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53711618";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53711619";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"5371162";;;;;;;;;;;;;;;;;;0,0628;0,9372;;;;;;;;;;;"0.0628 * clc_311 + 0.9372 * clc_312"
"53711631";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53711632";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53711633";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53711634";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53711635";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53711636";;;;;;;;;;;;;;;;;;0,0025;0,9975;;;;;;;;;;;"0.0025 * clc_311 + 0.9975 * clc_312"
"53711637";;;;;;;;;;;;0,0293;;;0,0854;;;;0,8853;;;;;;;;;;;"0.0293 * clc_211 + 0.0854 * clc_231 + 0.8853 * clc_312"
"53711638";;;;;;;;;;;;;;;0,3118;;;;0,6882;;;;;;;;;;;"0.3118 * clc_231 + 0.6882 * clc_312"
"53711639";;;;;;;;;;;;0,6402;;;0,0133;;;;0,3465;;;;;;;;;;;"0.6402 * clc_211 + 0.0133 * clc_231 + 0.3465 * clc_312"
"5371164";;;;;;;;;;;;0,4692;;;0,014;;;;0,5168;;;;;;;;;;;"0.4692 * clc_211 + 0.014 * clc_231 + 0.5168 * clc_312"
"53711651";;;;;;;;;;;;;;;0,3133;;;;0,6867;;;;;;;;;;;"0.3133 * clc_231 + 0.6867 * clc_312"
"53711652";;;;;;;;;;;;;;;0,0198;;;0,0381;0,9421;;;;;;;;;;;"0.0198 * clc_231 + 0.0381 * clc_311 + 0.9421 * clc_312"
"53711659";;;;;;;;;;;;0,055;;;0,033;;;;0,912;;;;;;;;;;;"0.055 * clc_211 + 0.033 * clc_231 + 0.912 * clc_312"
"5371166";;0,1469;;;;;;;;;;0,3419;;;0,1723;;;;0,3389;;;;;;;;;;;"0.1469 * clc_112 + 0.3419 * clc_211 + 0.1723 * clc_231 + 0.3389 * clc_312"
"53711691";;0,1192;;;;;;;;;;0,187;;;;;;;0,6938;;;;;;;;;;;"0.1192 * clc_112 + 0.187 * clc_211 + 0.6938 * clc_312"
"53711692";;0,1217;;;;;;;;;;0,3347;;;0,194;0,0783;;;0,2714;;;;;;;;;;;"0.1217 * clc_112 + 0.3347 * clc_211 + 0.194 * clc_231 + 0.0783 * clc_242 + 0.2714 * clc_312"
